Description,Name,Number,Source
Population of Cattle in,Portugal,1.5M,World Population Review (Feb 2026)
Population of Cattle in,Denmark,1.4M,World Population Review (Feb 2026)
Population of Cattle in,Panama,1.4M,World Population Review (Feb 2026)
Population of Cattle in,Czechia,1.4M,World Population Review (Feb 2026)
Population of Cattle in,Sweden,1.3M,World Population Review (Feb 2026)
Population of Cattle in,Burundi,1.2M,World Population Review (Feb 2026)
Population of Cattle in,Sri Lanka,1.1M,World Population Review (Feb 2026)
Population of Cattle in,Botswana,918.1K,World Population Review (Feb 2026)
Population of Cattle in,Hungary,869.9K,World Population Review (Feb 2026)
Population of Cattle in,Norway,852.8K,World Population Review (Feb 2026)
Population of Cattle in,Georgia,837.7K,World Population Review (Feb 2026)
Population of Cattle in,Syria,826.4K,World Population Review (Feb 2026)
Population of Cattle in,El Salvador,772.2K,World Population Review (Feb 2026)
Population of Cattle in,Finland,764K,World Population Review (Feb 2026)
Population of Cattle in,Guinea-Bissau,742.8K,World Population Review (Feb 2026)
Population of Cattle in,Malaysia,730.3K,World Population Review (Feb 2026)
Population of Cattle in,Serbia,698.6K,World Population Review (Feb 2026)
Population of Cattle in,Sierra Leone,682.1K,World Population Review (Feb 2026)
Population of Cattle in,Eswatini,652.5K,World Population Review (Feb 2026)
Population of Cattle in,Lithuania,599.8K,World Population Review (Feb 2026)
Population of Cattle in,Greece,595.2K,World Population Review (Feb 2026)
Population of Cattle in,North Korea,570.7K,World Population Review (Feb 2026)
Population of Cattle in,Bulgaria,558.8K,World Population Review (Feb 2026)
Population of Cattle in,Saudi Arabia,534.2K,World Population Review (Feb 2026)
Population of Cattle in,Lesotho,517.5K,World Population Review (Feb 2026)
Population of Cattle in,Tunisia,495.9K,World Population Review (Feb 2026)
Population of Cattle in,Armenia,491.6K,World Population Review (Feb 2026)
Population of Cattle in,Israel,478K,World Population Review (Feb 2026)
Population of Cattle in,Togo,477.4K,World Population Review (Feb 2026)
Population of Cattle in,Slovenia,453.9K,World Population Review (Feb 2026)
Population of Cattle in,Oman,447K,World Population Review (Feb 2026)
Population of Cattle in,Croatia,422K,World Population Review (Feb 2026)
Population of Cattle in,Slovakia,416.7K,World Population Review (Feb 2026)
Population of Cattle in,Bosnia and Herzegovina,383.3K,World Population Review (Feb 2026)
Population of Cattle in,Latvia,352.1K,World Population Review (Feb 2026)
Population of Cattle in,Republic of the Congo,335.2K,World Population Review (Feb 2026)
Population of Cattle in,Djibouti,317.9K,World Population Review (Feb 2026)
Population of Cattle in,Gambia,309.2K,World Population Review (Feb 2026)
Population of Cattle in,Albania,272K,World Population Review (Feb 2026)
Population of Cattle in,Bhutan,257.1K,World Population Review (Feb 2026)
Population of Cattle in,Timor-Leste,238.9K,World Population Review (Feb 2026)
Population of Cattle in,Estonia,232.4K,World Population Review (Feb 2026)
Population of Cattle in,Puerto Rico,218.6K,World Population Review (Feb 2026)
Population of Cattle in,Libya,208.9K,World Population Review (Feb 2026)
Population of Cattle in,Luxembourg,180.5K,World Population Review (Feb 2026)
Population of Cattle in,Taiwan,155.7K,World Population Review (Feb 2026)
Population of Cattle in,Jamaica,153.2K,World Population Review (Feb 2026)
Population of Cattle in,North Macedonia,144K,World Population Review (Feb 2026)
Population of Cattle in,United Arab Emirates,119.1K,World Population Review (Feb 2026)
Population of Cattle in,Belize,99K,World Population Review (Feb 2026)
Population of Cattle in,Guyana,98.9K,World Population Review (Feb 2026)
Population of Cattle in,Moldova,98.8K,World Population Review (Feb 2026)
Population of Cattle in,Papua New Guinea,90.9K,World Population Review (Feb 2026)
Population of Cattle in,Vanuatu,89K,World Population Review (Feb 2026)
Population of Cattle in,Jordan,88.8K,World Population Review (Feb 2026)
Population of Cattle in,Cyprus,82.7K,World Population Review (Feb 2026)
Population of Cattle in,Fiji,80.7K,World Population Review (Feb 2026)
